 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2019
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 20";"Cap 21";"Total"
"2019";815136;883430;110915;247263;356128;237645;134997;21725;1187149;1192070;1210441;285410;221047;873401;2451903;306732;91049;216405;1242978;7;270430;12356261
"..Janeiro/2019";69133;69936;9480;21610;29687;19454;9077;1659;96505;80273;93352;23108;16638;69650;209982;25655;6923;17463;106038;1;19935;995559
"..Fevereiro/2019";66669;69395;9096;20638;28978;18388;9861;1728;92469;73278;93985;22657;17617;70407;199066;25260;7020;16950;98455;1;20444;962362
"..Março/2019";70424;70684;9372;20457;29340;19291;10238;1759;95044;90805;95919;23136;17634;72369;212761;26003;7099;17580;100177;1;21663;1011756
"..Abril/2019";72778;72190;9441;20141;29316;19680;10470;1762;94906;106461;98926;23434;18334;71484;209536;26400;7366;17769;98717;1;21971;1031083
"..Maio/2019";76869;74930;9326;20379;30088;19976;12024;1840;98585;117977;103693;24256;19076;73949;214596;27092;7831;18187;104609;1;23263;1078547
"..Junho/2019";70642;71233;8821;19409;28910;19292;11954;1785;95390;118109;99449;23007;17927;70147;205016;25230;7499;17504;98619;1;22563;1032507
"..Julho/2019";66661;76236;9035;20345;29614;20309;13015;1934;103499;116366;104074;24533;18990;72941;207678;25467;7633;18055;105177;1;24076;1065639
"..Agosto/2019";65965;77185;9256;21132;29738;20519;12963;1876;107237;109186;105555;24911;19628;74492;207824;25767;8291;18741;107819;-;24014;1072099
"..Setembro/2019";64480;75503;9313;20776;29966;20210;11692;1843;103221;102982;102869;24083;18507;73789;204500;25718;8118;18295;104098;-;24026;1043989
"..Outubro/2019";65732;78984;9422;21337;31152;20937;11824;1943;104757;100720;109535;25357;19890;77667;200975;25268;8384;19280;109999;-;24344;1067507
"..Novembro/2019";63585;75781;9155;20896;29901;20127;11741;1867;98713;90706;104058;23837;19191;75003;190870;24559;7834;18412;104643;-;22690;1013569
"..Dezembro/2019";62198;71373;9198;20143;29438;19462;10138;1729;96823;85207;99026;23091;17615;71503;189099;24313;7051;18169;104627;-;21441;981644
"Total";815136;883430;110915;247263;356128;237645;134997;21725;1187149;1192070;1210441;285410;221047;873401;2451903;306732;91049;216405;1242978;7;270430;12356261
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
