 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2018
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 20";"Cap 21";"Total"
"2018";756917;832975;105084;240648;352507;232505;128124;19560;1160371;1178796;1167850;266245;216599;837654;2476745;294947;85970;203609;1186394;16;257311;12000827
"..Janeiro/2018";68147;66378;8863;20564;29835;18625;8869;1511;94896;78454;92631;22102;16920;67752;205861;24894;6560;16669;99926;2;19530;968989
"..Fevereiro/2018";66234;63617;8471;19858;29452;18221;9292;1484;90691;71332;88584;21631;16466;65928;199749;23873;6182;16100;93985;2;18940;930092
"..Março/2018";70023;69009;8929;20636;29800;19477;10569;1681;96599;87318;97893;23198;18165;72322;213891;26043;7365;17179;98683;1;21375;1010156
"..Abril/2018";67887;70601;8823;20012;29885;19976;9942;1738;94924;101859;99139;22843;18338;71214;215408;25278;7209;17507;98236;2;21362;1022183
"..Maio/2018";65028;69838;8909;19430;30016;19792;10146;1673;94831;116501;98125;22654;17982;69528;219835;25222;7058;16938;98878;2;21795;1034181
"..Junho/2018";60663;68583;8385;19318;28839;18997;10446;1634;95181;120216;94679;21899;17872;67425;211104;24791;7154;16752;96797;1;21727;1012463
"..Julho/2018";59572;70321;8487;19404;29660;19396;10801;1661;99158;120303;96898;22048;18213;67952;212912;26093;7301;16922;100076;1;22399;1029578
"..Agosto/2018";59998;73206;8845;20681;29755;20111;11016;1638;102388;109407;101886;22927;19017;71467;207964;24996;7772;17184;102393;1;22819;1035471
"..Setembro/2018";58643;71763;8681;20071;28878;19523;10938;1648;98929;100846;100322;21889;18398;70908;201342;23863;7710;17212;100136;1;22414;1004115
"..Outubro/2018";60933;71386;9143;21023;29846;20026;12916;1674;102790;97441;104265;22708;19387;73402;201384;24254;7739;18105;101581;1;22303;1022307
"..Novembro/2018";59825;70215;8815;20191;28339;19905;12170;1710;96350;91034;99378;21592;18335;71616;196953;22733;7073;16949;98235;1;21862;983281
"..Dezembro/2018";59964;68058;8733;19460;28202;18456;11019;1508;93634;84085;94050;20754;17506;68140;190342;22907;6847;16092;97468;1;20785;948011
"Total";756917;832975;105084;240648;352507;232505;128124;19560;1160371;1178796;1167850;266245;216599;837654;2476745;294947;85970;203609;1186394;16;257311;12000827
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
