 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2021
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2021";1790018;798885;97124;203747;301702;209859;100662;12465;1014875;774626;917794;211339;153347;665778;2310265;326377;71162;201195;1249269;216705;11627194
"  Janeiro/2021";122273;62189;7765;16519;24784;16840;6798;960;79273;56084;73528;17043;11684;53130;192375;26376;5216;16194;105749;16005;910785
"  Fevereiro/2021";128825;62553;7773;15856;24302;16214;7073;971;77727;56353;73371;17225;11859;52980;186745;25717;5462;15883;103091;16885;906865
"  Março/2021";189604;62638;7325;14984;24439;15703;6920;847;73960;60331;63558;15946;10956;48125;197009;27702;5280;15372;98335;16161;955195
"  Abril/2021";223673;57332;7110;14085;22983;15342;6084;725;69455;56557;56306;14350;9149;42578;198913;28017;4799;14919;94399;14413;951189
"  Maio/2021";225274;61305;7310;14965;23749;16126;7175;705;74529;59683;61524;15519;10606;46347;201516;28445;5077;15604;98658;15912;990029
"  Junho/2021";222258;63861;7417;14909;23989;16666;7809;814;78224;62428;64766;17008;11109;48098;194352;28005;5543;15683;99844;16208;998991
"  Julho/2021";183253;66277;7772;16843;24869;16970;7988;1009;86026;65579;72308;17801;12367;52769;193838;27364;6240;16231;103111;17807;996422
"  Agosto/2021";141350;70219;8156;18357;26163;18349;9238;1161;93092;67260;80807;18724;13849;58755;194096;27880;6660;17488;107029;19100;997733
"  Setembro/2021";107994;72107;8608;19188;26878;18865;9848;1173;95522;65639;87633;19249;15049;63383;190939;26962;6698;18053;110337;19453;983578
"  Outubro/2021";89748;72289;8892;19214;26139;19011;10075;1350;95243;67710;92319;19339;15705;65750;186425;26303;6716;18492;111291;20607;972618
"  Novembro/2021";80079;73684;9278;19305;26902;19365;11150;1335;95677;73393;95572;19527;15369;67001;186252;27145;6803;18301;108530;22200;976868
"  Dezembro/2021";75687;74431;9718;19522;26505;20408;10504;1415;96147;83609;96102;19608;15645;66862;187805;26461;6668;18975;108895;21954;986921
"Total";1790018;798885;97124;203747;301702;209859;100662;12465;1014875;774626;917794;211339;153347;665778;2310265;326377;71162;201195;1249269;216705;11627194
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
