 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2016
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 20";"Cap 21";"Total"
"2016";837335;769097;98152;245949;382622;228124;104988;19067;1136493;1158556;1081343;249161;207365;781911;2345438;260786;80698;178139;1138855;164;223462;11527705
"..Janeiro/2016";72039;59134;8211;21675;32413;18086;7103;1484;90446;74850;84457;20066;15330;62002;200739;21179;6010;14147;94147;26;15786;919330
"..Fevereiro/2016";84357;58790;8410;21554;32301;18252;7494;1474;89886;70989;85153;20515;15451;63771;196586;21290;6083;14541;91625;22;16875;925419
"..Março/2016";86551;63772;8556;22201;32522;19116;8434;1618;94285;86982;91254;22042;17460;67103;204389;21707;6780;15136;93807;23;18797;982535
"..Abril/2016";80346;63522;8401;21096;31876;18832;8641;1672;91658;105675;89951;21697;17033;65838;203001;21646;6738;15084;92673;22;18774;984176
"..Maio/2016";71559;64428;7835;19686;31853;18899;9312;1627;91999;115306;90707;20959;17560;64609;208851;22477;6916;14675;93909;23;19136;992326
"..Junho/2016";65843;65864;7725;19692;32368;19329;9340;1635;96533;120727;91567;21367;18252;65650;201942;22148;7198;14764;94802;16;19750;996512
"..Julho/2016";63312;66587;7787;20021;31596;19196;9583;1651;98956;118534;90554;20890;18230;64424;197840;21660;7045;14545;95148;8;19191;986758
"..Agosto/2016";66592;68038;8184;20683;32432;20029;10023;1749;101881;106962;96647;21614;18713;67896;196061;22341;7462;15279;100092;6;19865;1002549
"..Setembro/2016";64645;65018;8037;20180;31782;19334;9290;1523;97364;97801;93998;20677;17915;67176;190717;21560;7146;14763;95383;6;19686;964001
"..Outubro/2016";63226;64274;8289;20529;31615;19385;9286;1594;97928;94251;91379;20088;17742;65742;184610;21609;6757;14698;95743;4;18777;947526
"..Novembro/2016";60312;64035;8344;19412;31169;18896;8903;1521;93666;85562;89482;19547;17191;64661;179567;21332;6350;15225;96106;4;18480;919765
"..Dezembro/2016";58553;65635;8373;19220;30695;18770;7579;1519;91891;80917;86194;19699;16488;63039;181135;21837;6213;15282;95420;4;18345;906808
"Total";837335;769097;98152;245949;382622;228124;104988;19067;1136493;1158556;1081343;249161;207365;781911;2345438;260786;80698;178139;1138855;164;223462;11527705
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
