 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2020
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2020";1109024;760560;92099;201093;302100;198008;83565;11829;1001661;761841;888855;210267;147588;656699;2322218;308923;62317;185671;1184433;197789;10686540
"..Janeiro/2020";69580;73981;9439;21484;29528;20033;9984;1804;98473;79616;100235;24124;17345;73543;203929;27068;7100;18325;107399;21714;1014704
"..Fevereiro/2020";71920;71508;8970;20255;29497;19494;9611;1658;95526;76832;96775;23211;17222;71789;192263;25712;7249;18027;102041;22053;981613
"..Março/2020";69923;70795;8881;19089;28255;18470;8322;1510;91844;88978;89807;21351;16161;65747;199894;26328;6365;16854;101787;20301;970662
"..Abril/2020";58823;56884;6905;14379;24085;14388;3385;792;73333;64898;56755;14367;9467;44324;201647;25851;3607;13595;88366;12354;788205
"..Maio/2020";83651;55057;6658;14211;22334;14171;3418;592;73827;57767;55163;13631;8990;41861;203722;26438;3526;13194;89036;12324;799571
"..Junho/2020";103272;54019;6491;13858;22394;14282;4776;525;74046;56039;54446;13508;8685;41153;195333;25554;3371;13459;87388;11814;804413
"..Julho/2020";124483;58254;6739;14930;23508;15040;5043;611;77836;57660;58158;14422;9029;43989;196879;26047;3747;14243;96732;13009;860359
"..Agosto/2020";121296;59800;7000;15430;23096;15647;6017;656;81351;58361;63840;15527;9951;46525;190489;25363;4367;14492;97709;14166;871083
"..Setembro/2020";106360;63253;7409;16330;23859;15923;6911;749;81796;56201;70450;16375;11085;51680;190114;25183;5159;14959;99698;15620;879114
"..Outubro/2020";98940;65496;8032;17455;25265;17141;8481;949;86976;56641;81833;18129;13284;60597;186960;25238;5916;16274;106180;18001;917788
"..Novembro/2020";95093;67257;7881;17113;25088;17221;9413;1040;86868;56233;84127;18318;14018;60520;182215;25236;6380;16396;104941;19330;914688
"..Dezembro/2020";105683;64256;7694;16559;25191;16198;8204;943;79785;52615;77266;17304;12351;54971;178773;24905;5530;15853;103156;17103;884340
"Total";1109024;760560;92099;201093;302100;198008;83565;11829;1001661;761841;888855;210267;147588;656699;2322218;308923;62317;185671;1184433;197789;10686540
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
