 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2024
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2024";967291;1105852;138300;257067;350112;277865;197787;30257;1333288;1361054;1501891;354587;293138;1072919;2115667;354670;97211;282681;1580034;498863;14170534
"Janeiro/2024";73130;85193;11358;21981;28942;22437;13498;2215;107942;82214;117844;28316;21032;86876;179866;30003;7511;22356;129436;36903;1109053
"Fevereiro/2024";82618;85804;11203;20850;29121;22049;13612;2032;104019;77102;116715;28313;20881;84554;174406;29057;7341;21942;125908;36570;1094097
"Março/2024";100403;90659;11775;21699;29034;22690;15454;2328;106467;98999;125455;29775;22974;89537;187590;30912;7855;22916;128997;40377;1185896
"Abril/2024";105106;91756;12138;21698;29378;23531;15392;2380;107879;123195;127184;30269;23886;88472;187035;31234;8150;23704;128080;44309;1224776
"Maio/2024";99176;91519;11499;20796;28669;22750;16290;2473;106794;137388;124921;29349;23960;87982;183684;30513;7883;23154;127979;42804;1219583
"Junho/2024";83811;90248;11242;20191;28154;22503;16563;2586;108575;137290;123330;28573;23842;86418;176092;29370;7838;23195;126647;42342;1188810
"Julho/2024";77307;93847;11433;21520;29523;23909;17969;2762;116033;134234;128203;29914;25811;90072;176809;29208;8251;24266;135237;43686;1219994
"Agosto/2024";74004;98043;11568;21323;29259;24068;19036;2548;119427;125408;134755;30593;26760;93420;176448;29573;8950;24095;136314;43571;1229163
"Setembro/2024";70362;97314;11587;21780;29170;23687;18762;2774;117267;121998;129706;30394;26046;92577;172346;28926;8677;24834;134113;44188;1206508
"Outubro/2024";69935;99795;11838;22362;30913;24520;19788;2889;117677;117498;132655;30790;27641;95735;172310;29765;8883;24479;140656;44414;1224543
"Novembro/2024";65317;93339;11404;21564;28827;23411;17209;2746;112767;106856;125205;29325;25847;90581;166637;28323;8369;23846;132983;42199;1156755
"Dezembro/2024";66122;88335;11255;21303;29122;22310;14214;2524;108441;98872;115918;28976;24458;86695;162444;27786;7503;23894;133684;37500;1111356
"Total";967291;1105852;138300;257067;350112;277865;197787;30257;1333288;1361054;1501891;354587;293138;1072919;2115667;354670;97211;282681;1580034;498863;14170534
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
