 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2022
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2022";889753;938452;117275;235006;322182;249617;140620;20613;1202386;1241292;1270936;263790;216522;873556;2234475;331617;85502;233027;1353446;300162;12520229
"..Janeiro/2022";90187;68817;9376;19072;24650;19302;8935;1300;91239;106537;86853;18002;14377;60725;191587;27367;5875;18237;106492;19181;988111
"..Fevereiro/2022";103697;67067;8806;18288;24398;18761;9549;1220;87300;79675;86503;18911;14838;62007;181039;27302;6207;17148;104438;19291;956445
"..Março/2022";87213;76961;9984;20000;27133;20604;11034;1481;94969;89171;101536;21517;17158;72328;196724;28681;6999;18928;113957;22426;1038804
"..Abril/2022";78647;76098;9474;19375;26696;19933;11028;1602;94420;99835;100414;21466;16820;71024;192653;27850;6802;18620;107862;22683;1023302
"..Maio/2022";75314;79713;9661;19439;26532;20841;11855;1781;98728;115514;104236;21104;17897;72786;191083;28416;7038;19120;109773;24448;1055279
"..Junho/2022";68058;76122;9434;18788;26432;20308;11345;1850;97236;123354;104417;21636;17531;71040;183811;26888;6929;18822;106431;23543;1033975
"..Julho/2022";70871;81066;9732;19870;27071;21372;12405;1916;104104;121108;109569;22412;18900;74066;188100;27464;7354;19830;113813;26256;1077279
"..Agosto/2022";67235;83949;10051;20255;27964;21782;13747;1994;108503;111511;117452;24532;20140;78639;189740;27937;7823;20578;117959;28394;1100185
"..Setembro/2022";61954;83864;9913;20260;28050;22022;13803;2091;108234;105051;116345;23736;19989;77252;178055;26705;7774;20485;117473;28687;1071743
"..Outubro/2022";60931;83365;10279;20335;28165;22200;13313;1933;108826;101103;118410;24176;20372;80192;176025;27153;7798;20775;119246;29277;1073874
"..Novembro/2022";60254;80368;10143;19759;27661;21355;12510;1833;104921;95905;113262;23016;19722;77463;177745;27047;7540;20607;115411;27790;1044312
"..Dezembro/2022";65392;81062;10422;19565;27430;21137;11096;1612;103906;92528;111939;23282;18778;76034;187913;28807;7363;19877;120591;28186;1056920
"Total";889753;938452;117275;235006;322182;249617;140620;20613;1202386;1241292;1270936;263790;216522;873556;2234475;331617;85502;233027;1353446;300162;12520229
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
