 Morbidade Hospitalar do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Capítulo CID-10
Período:2025
"Ano/mês processamento";"Cap 01";"Cap 02";"Cap 03";"Cap 04";"Cap 05";"Cap 06";"Cap 07";"Cap 08";"Cap 09";"Cap 10";"Cap 11";"Cap 12";"Cap 13";"Cap 14";"Cap 15";"Cap 16";"Cap 17";"Cap 18";"Cap 19";"Cap 21";"Total"
"2025";847424;1138897;142749;278190;369484;298026;206372;31176;1424926;1424308;1526909;366798;339522;1126690;2159533;369911;101625;308685;1676854;502801;14640880
"Janeiro/2025";73645;90764;12066;23320;30057;23496;15264;2495;115258;93231;119942;30091;23948;90591;179341;30983;7837;25179;138903;38174;1164585
"Fevereiro/2025";74882;88447;11678;21954;29484;23045;15955;2237;110488;85605;119502;30107;25295;89944;169564;29336;8173;23877;132367;38967;1130907
"Março/2025";81512;90445;11979;22637;30621;23949;15388;2389;112767;100417;122111;30683;25975;92385;187453;32217;8088;25073;138746;40114;1194949
"Abril/2025";78495;90849;11608;22000;30386;23977;15706;2431;112140;116570;123867;30061;26456;91775;186290;31796;8269;24695;133336;40473;1201180
"Maio/2025";75977;97090;11722;22349;30261;24837;17126;2757;118719;148301;129864;30757;28413;93109;190967;32324;8643;25271;139362;44001;1271850
"Junho/2025";68599;91751;11098;21825;29547;24218;16814;2616;115940;156668;122612;29432;27399;89073;183089;31057;8197;24493;135266;42156;1231850
"Julho/2025";67702;97743;11622;23286;31046;25465;18870;2655;124685;146697;131195;31129;29133;94755;184849;31374;8685;26026;142799;44672;1274388
"Agosto/2025";66353;98401;11834;23917;31047;25610;18674;2626;127866;130149;133490;31695;30197;96676;179643;31953;8950;26682;143458;43858;1263079
"Setembro/2025";65686;100052;12144;23961;31695;26316;18465;2821;126097;122911;133371;31386;30556;97714;180915;29892;8895;26944;145547;44232;1259600
"Outubro/2025";66172;102854;12964;25181;32466;26547;20262;2834;126124;116431;137779;31447;31958;101539;179191;30910;9049;27773;147314;43643;1272438
"Novembro/2025";64091;96973;11905;23947;31232;25671;18318;2793;118138;107912;130725;30318;30990;96414;168686;28513;8930;26309;139420;42634;1203919
"Dezembro/2025";64310;93528;12129;23813;31642;24895;15530;2522;116704;99416;122451;29692;29202;92715;169545;29556;7909;26363;140336;39877;1172135
"Total";847424;1138897;142749;278190;369484;298026;206372;31176;1424926;1424308;1526909;366798;339522;1126690;2159533;369911;101625;308685;1676854;502801;14640880
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
