ano,mes,mes_nome,capitulo,grupo_cid,aih
2016,5,Mai,Cap 21,Fatores de Saúde,19200
2016,6,Jun,Cap 01,Infeccioso/Parasitário,61281
2016,6,Jun,Cap 02,Neoplasias,65909
2016,6,Jun,Cap 03,Sangue/Imunidade,7612
2016,6,Jun,Cap 04,Endócrino/Metabólico,19752
2016,6,Jun,Cap 05,Mental/Comportamental,25086
2016,6,Jun,Cap 06,Nervoso,16507
2016,6,Jun,Cap 07,Olho/Anexos,9386
2016,6,Jun,Cap 08,Ouvido,1636
2016,6,Jun,Cap 09,Cardiovascular,98224
2016,6,Jun,Cap 10,Respiratório,123524
2016,6,Jun,Cap 11,Digestivo,90866
2016,6,Jun,Cap 12,Pele/Subcutâneo,20808
2016,6,Jun,Cap 13,Osteomuscular,17939
2016,6,Jun,Cap 14,Geniturinário,64715
2016,6,Jun,Cap 15,Materno/Perinatal,195110
2016,6,Jun,Cap 16,Perinatal,21688
2016,6,Jun,Cap 17,Congênito,7029
2016,6,Jun,Cap 18,Sintomas/Sinais,14597
2016,6,Jun,Cap 19,Lesões/Traumas,93005
2016,6,Jun,Cap 20,Causas Externas,0
2016,6,Jun,Cap 21,Fatores de Saúde,19701
2016,7,Jul,Cap 01,Infeccioso/Parasitário,61852
2016,7,Jul,Cap 02,Neoplasias,64220
2016,7,Jul,Cap 03,Sangue/Imunidade,7602
2016,7,Jul,Cap 04,Endócrino/Metabólico,19812
2016,7,Jul,Cap 05,Mental/Comportamental,26500
2016,7,Jul,Cap 06,Nervoso,16273
2016,7,Jul,Cap 07,Olho/Anexos,9355
2016,7,Jul,Cap 08,Ouvido,1647
2016,7,Jul,Cap 09,Cardiovascular,98467
2016,7,Jul,Cap 10,Respiratório,112109
2016,7,Jul,Cap 11,Digestivo,89536
2016,7,Jul,Cap 12,Pele/Subcutâneo,20591
2016,7,Jul,Cap 13,Osteomuscular,17179
2016,7,Jul,Cap 14,Geniturinário,63323
2016,7,Jul,Cap 15,Materno/Perinatal,194011
2016,7,Jul,Cap 16,Perinatal,21946
2016,7,Jul,Cap 17,Congênito,7013
2016,7,Jul,Cap 18,Sintomas/Sinais,14273
2016,7,Jul,Cap 19,Lesões/Traumas,96694
2016,7,Jul,Cap 20,Causas Externas,0
2016,7,Jul,Cap 21,Fatores de Saúde,18521
2016,8,Ago,Cap 01,Infeccioso/Parasitário,66506
2016,8,Ago,Cap 02,Neoplasias,69853
2016,8,Ago,Cap 03,Sangue/Imunidade,8167
2016,8,Ago,Cap 04,Endócrino/Metabólico,21122
2016,8,Ago,Cap 05,Mental/Comportamental,25917
2016,8,Ago,Cap 06,Nervoso,17631
2016,8,Ago,Cap 07,Olho/Anexos,9967
2016,8,Ago,Cap 08,Ouvido,1721
2016,8,Ago,Cap 09,Cardiovascular,101993
2016,8,Ago,Cap 10,Respiratório,99094
2016,8,Ago,Cap 11,Digestivo,98873
2016,8,Ago,Cap 12,Pele/Subcutâneo,21742
2016,8,Ago,Cap 13,Osteomuscular,18888
2016,8,Ago,Cap 14,Geniturinário,70247
2016,8,Ago,Cap 15,Materno/Perinatal,191404
2016,8,Ago,Cap 16,Perinatal,21677
2016,8,Ago,Cap 17,Congênito,7550
2016,8,Ago,Cap 18,Sintomas/Sinais,15351
2016,8,Ago,Cap 19,Lesões/Traumas,98580
2016,8,Ago,Cap 20,Causas Externas,0
2016,8,Ago,Cap 21,Fatores de Saúde,20717
2016,9,Set,Cap 01,Infeccioso/Parasitário,61688
2016,9,Set,Cap 02,Neoplasias,63735
2016,9,Set,Cap 03,Sangue/Imunidade,8265
2016,9,Set,Cap 04,Endócrino/Metabólico,19891
2016,9,Set,Cap 05,Mental/Comportamental,24149
2016,9,Set,Cap 06,Nervoso,15961
2016,9,Set,Cap 07,Olho/Anexos,9276
2016,9,Set,Cap 08,Ouvido,1499
2016,9,Set,Cap 09,Cardiovascular,94356
2016,9,Set,Cap 10,Respiratório,92085
2016,9,Set,Cap 11,Digestivo,93092
2016,9,Set,Cap 12,Pele/Subcutâneo,19991
2016,9,Set,Cap 13,Osteomuscular,17289
2016,9,Set,Cap 14,Geniturinário,66271
2016,9,Set,Cap 15,Materno/Perinatal,186060
2016,9,Set,Cap 16,Perinatal,20633
2016,9,Set,Cap 17,Congênito,6829
2016,9,Set,Cap 18,Sintomas/Sinais,14788
2016,9,Set,Cap 19,Lesões/Traumas,94416
2016,9,Set,Cap 20,Causas Externas,0
2016,9,Set,Cap 21,Fatores de Saúde,19498
2016,10,Out,Cap 01,Infeccioso/Parasitário,57572
2016,10,Out,Cap 02,Neoplasias,60466
2016,10,Out,Cap 03,Sangue/Imunidade,7827
2016,10,Out,Cap 04,Endócrino/Metabólico,18813
2016,10,Out,Cap 05,Mental/Comportamental,22370
2016,10,Out,Cap 06,Nervoso,14928
2016,10,Out,Cap 07,Olho/Anexos,8555
2016,10,Out,Cap 08,Ouvido,1498
2016,10,Out,Cap 09,Cardiovascular,87890
2016,10,Out,Cap 10,Respiratório,86187
2016,10,Out,Cap 11,Digestivo,86319
2016,10,Out,Cap 12,Pele/Subcutâneo,18304
2016,10,Out,Cap 13,Osteomuscular,15950
2016,10,Out,Cap 14,Geniturinário,61638
2016,10,Out,Cap 15,Materno/Perinatal,174940
2016,10,Out,Cap 16,Perinatal,19365
2016,10,Out,Cap 17,Congênito,6120
2016,10,Out,Cap 18,Sintomas/Sinais,13954
2016,10,Out,Cap 19,Lesões/Traumas,89265
2016,10,Out,Cap 20,Causas Externas,0
2016,10,Out,Cap 21,Fatores de Saúde,17871
2016,11,Nov,Cap 01,Infeccioso/Parasitário,48260
2016,11,Nov,Cap 02,Neoplasias,51832
2016,11,Nov,Cap 03,Sangue/Imunidade,6889
2016,11,Nov,Cap 04,Endócrino/Metabólico,15939
2016,11,Nov,Cap 05,Mental/Comportamental,18734
2016,11,Nov,Cap 06,Nervoso,12601
2016,11,Nov,Cap 07,Olho/Anexos,8118
2016,11,Nov,Cap 08,Ouvido,1291
2016,11,Nov,Cap 09,Cardiovascular,73270
2016,11,Nov,Cap 10,Respiratório,68350
2016,11,Nov,Cap 11,Digestivo,74192
2016,11,Nov,Cap 12,Pele/Subcutâneo,15929
2016,11,Nov,Cap 13,Osteomuscular,13243
2016,11,Nov,Cap 14,Geniturinário,54115
2016,11,Nov,Cap 15,Materno/Perinatal,154129
2016,11,Nov,Cap 16,Perinatal,16143
2016,11,Nov,Cap 17,Congênito,5156
2016,11,Nov,Cap 18,Sintomas/Sinais,11865
2016,11,Nov,Cap 19,Lesões/Traumas,72320
2016,11,Nov,Cap 20,Causas Externas,0
2016,11,Nov,Cap 21,Fatores de Saúde,15784
2016,12,Dez,Cap 01,Infeccioso/Parasitário,28637
2016,12,Dez,Cap 02,Neoplasias,30085
2016,12,Dez,Cap 03,Sangue/Imunidade,4233
2016,12,Dez,Cap 04,Endócrino/Metabólico,10071
2016,12,Dez,Cap 05,Mental/Comportamental,9243
2016,12,Dez,Cap 06,Nervoso,7181
2016,12,Dez,Cap 07,Olho/Anexos,4613
2016,12,Dez,Cap 08,Ouvido,795
2016,12,Dez,Cap 09,Cardiovascular,43387
2016,12,Dez,Cap 10,Respiratório,41800
2016,12,Dez,Cap 11,Digestivo,45845
2016,12,Dez,Cap 12,Pele/Subcutâneo,9639
2016,12,Dez,Cap 13,Osteomuscular,7241
2016,12,Dez,Cap 14,Geniturinário,33894
2016,12,Dez,Cap 15,Materno/Perinatal,111786
2016,12,Dez,Cap 16,Perinatal,9050
2016,12,Dez,Cap 17,Congênito,2686
2016,12,Dez,Cap 18,Sintomas/Sinais,7095
2016,12,Dez,Cap 19,Lesões/Traumas,43208
2016,12,Dez,Cap 20,Causas Externas,0
2016,12,Dez,Cap 21,Fatores de Saúde,10681
2017,1,Jan,Cap 01,Infeccioso/Parasitário,71184
2017,1,Jan,Cap 02,Neoplasias,65610
2017,1,Jan,Cap 03,Sangue/Imunidade,8793
2017,1,Jan,Cap 04,Endócrino/Metabólico,20885
2017,1,Jan,Cap 05,Mental/Comportamental,28207
2017,1,Jan,Cap 06,Nervoso,16488
2017,1,Jan,Cap 07,Olho/Anexos,7414
2017,1,Jan,Cap 08,Ouvido,1676
2017,1,Jan,Cap 09,Cardiovascular,93651
2017,1,Jan,Cap 10,Respiratório,73940
2017,1,Jan,Cap 11,Digestivo,86651
2017,1,Jan,Cap 12,Pele/Subcutâneo,20833
